Frame_idx,He_x,He_y,He_z,Th_x,Th_y,Th_z,Abd_x,Abd_y,Abd_z,LF-ThC_x,LF-ThC_y,LF-ThC_z,LF-CTr_x,LF-CTr_y,LF-CTr_z,LF-FTi_x,LF-FTi_y,LF-FTi_z,LF-TiTa_x,LF-TiTa_y,LF-TiTa_z,LF-Claw_x,LF-Claw_y,LF-Claw_z,LM-ThC_x,LM-ThC_y,LM-ThC_z,LM-CTr_x,LM-CTr_y,LM-CTr_z,LM-FTi_x,LM-FTi_y,LM-FTi_z,LM-TiTa_x,LM-TiTa_y,LM-TiTa_z,LM-Claw_x,LM-Claw_y,LM-Claw_z,LH-ThC_x,LH-ThC_y,LH-ThC_z,LH-CTr_x,LH-CTr_y,LH-CTr_z,LH-FTi_x,LH-FTi_y,LH-FTi_z,LH-TiTa_x,LH-TiTa_y,LH-TiTa_z,LH-Claw_x,LH-Claw_y,LH-Claw_z,RH-ThC_x,RH-ThC_y,RH-ThC_z,RH-CTr_x,RH-CTr_y,RH-CTr_z,RH-FTi_x,RH-FTi_y,RH-FTi_z,RH-TiTa_x,RH-TiTa_y,RH-TiTa_z,RH-Claw_x,RH-Claw_y,RH-Claw_z,RM-ThC_x,RM-ThC_y,RM-ThC_z,RM-CTr_x,RM-CTr_y,RM-CTr_z,RM-FTi_x,RM-FTi_y,RM-FTi_z,RM-TiTa_x,RM-TiTa_y,RM-TiTa_z,RM-Claw_x,RM-Claw_y,RM-Claw_z,RF-ThC_x,RF-ThC_y,RF-ThC_z,RF-CTr_x,RF-CTr_y,RF-CTr_z,RF-FTi_x,RF-FTi_y,RF-FTi_z,RF-TiTa_x,RF-TiTa_y,RF-TiTa_z,RF-Claw_x,RF-Claw_y,RF-Claw_z,LA_x,LA_y,LA_z,RA_x,RA_y,RA_z
2641,509.9126936687971,270.3768712054582,202.90133309974036,429.98535757859264,243.59571364186854,266.7279325055991,256.7978880155495,193.04061145990056,115.83331749233881,474.6306165766692,244.3825462479026,195.3653932286486,459.93776859407495,228.55788576648592,144.17833195537128,550.0895430934663,211.22256893830172,164.90781901646847,559.7235618863423,200.93869172994096,104.20345813463314,610.905467105749,174.09402691402124,47.87425730405107,432.7060199670775,233.65873239069526,160.93187199443378,426.6348286623425,218.092241998517,136.62730656474628,404.5286396027173,136.53142885826173,180.62620793193378,394.97484420817455,166.1033903197474,95.49090738741506,,,50.5395098015058,406.10419766956255,234.98751525960154,169.15367375224628,390.6540850786497,222.42339230879747,146.5162551143635,360.9564552734901,157.5260983870869,204.26802964633976,324.5067219626624,149.78223866619328,128.89407761367715,264.60389065863654,125.35886514302842,67.53776080270495,400.0030658489668,245.899165394718,188.08150303897605,382.51118433312945,249.11077755024962,132.07470769554038,363.07971200592425,323.3397106810629,211.44151962810525,325.9850691155213,285.3401180911127,128.7435114850918,245.86938495685325,291.2040028285742,74.49272027831452,433.4120281109515,254.02475894857275,132.51580952552752,420.85933828882173,263.6833560765467,185.60756890890022,401.2494715788157,342.8067979326246,94.58299639531617,391.63498576606645,310.27369073199577,73.8535020148997,341.4663293012847,340.04680331958,28.646447157662593,477.5710580084078,257.16533650376687,186.03724058876662,459.335965921087,270.43774768912965,132.7258116094738,527.9161037617927,324.02167620510636,144.16910847144175,539.9468171593439,308.8360116949367,87.64530339199764,588.4492853816832,347.6190473506896,33.63167338766985,577.2990286159269,259.79652860823467,235.62253035408912,574.1964572242501,308.3959763241121,216.90445040645608
4205,505.36111264202486,315.65550230689223,191.94307790945854,425.82985996933394,334.1726674486572,242.5403255513147,253.4288670232567,368.8217167521161,76.49843044793887,471.66985833131037,318.0133368679386,172.09328852597218,471.8848271507778,295.2722551298241,108.19314871072083,529.255339706303,257.9040370698892,128.37159629679263,555.2220816622788,238.42401627258005,75.74087671834968,601.212695055176,185.19648327779487,42.286992914046095,427.85921569662275,323.49304053598894,140.83803692725064,424.80643634342664,310.03858923636665,103.82039295558911,419.0468633873299,244.2534245213626,178.80742326883774,442.28550499434505,221.42633054335056,93.67212272431902,454.0498885754458,143.55790373566083,39.18591623192924,409.32423957403546,327.6494435271445,135.5521927342163,389.27837728639815,319.192170818505,100.20169555435973,342.4474191387906,274.22482849833193,165.10457676619603,307.2560456035586,275.6726181906903,82.57951805367384,225.68500468219486,264.0285914289623,41.08738646453503,403.36950967174374,354.61959482295856,141.54395678416563,388.9430444599885,369.03300264418806,101.94558087283494,346.2792189178905,425.7157199944336,171.65658685463572,303.99249867898675,434.4481401220701,81.16397661523916,224.2980913595278,476.83784965903897,38.873149876259504,432.6670546369477,342.1056283425122,156.17107635971269,422.0289866614067,359.0888685659753,106.13818637756421,416.64984332991435,424.2372015348219,177.27501510931344,437.1828206589396,442.2544837281092,95.62583730399582,452.09803946609384,528.0876160559851,38.518145964766894,472.3472326562503,338.688571262246,182.32677911979303,471.3932481233546,348.83416789361183,116.08701354299876,528.1954298693479,369.99243631245736,153.35858252443484,550.8962279890388,361.6659351398588,87.41405853580865,604.4416110602244,373.3301059663213,37.64664811910026,566.7881429322136,273.6798771814051,209.17215601591897,577.0573706454411,327.5339186528548,194.205414464358
6485,500.5855887049332,310.0651520201475,128.60783817752878,424.92192244027484,333.0839170831903,197.02449217314063,257.5494350242554,361.67264889644,60.22464090755828,488.6167764801188,272.5793953899383,98.76343706427406,462.5543364848971,310.27289023921753,64.26229137733662,547.670688871584,275.88503158624053,77.2896322835486,595.4778188825032,311.14616835444804,50.085069789052795,674.6491531936883,298.42732843734245,47.61931493080988,426.1509911419502,324.14536959715645,105.64742109147346,422.77598336700123,312.52525786531316,60.68410303107839,422.71974618220895,234.8304999976118,131.69829629996002,452.16751006625424,187.98568456032467,60.86520911516209,478.56954283388586,97.3944991134606,39.75083379545276,408.40833995152116,327.6091434290787,104.3344139428059,395.1042945915162,317.8883863569331,65.01107971858255,369.85864964007817,273.2056707998355,129.91396093041885,324.4189134630884,285.0783722439993,56.12914371550323,223.93673893403724,245.32900417297105,41.65230402805901,398.95941465918224,342.80458747425155,92.83259157192829,387.7717446070965,350.96101205525724,70.80620509917782,366.51984916652464,432.4666358849822,155.68453123657622,322.144498666697,449.11886109227044,63.516106878841555,250.64606267646852,521.8055442976101,40.5777989343099,,344.7040288150338,,412.1738302600818,359.7878276977151,129.023299858123,430.6197232107024,420.1804773056069,68.3380301775825,453.9022666046544,452.9158366799629,78.36225185354098,477.1364440798867,521.3201701584335,39.785618431201684,493.2593558434734,348.00423213418435,137.2124457001613,470.92922907242576,321.4136300107182,60.90515566930114,554.6964666221877,315.85252957051966,72.4802591727582,577.6540326467,257.5618425745914,44.47813604683597,644.6850073349643,209.95938689456148,44.710959155970286,550.5470873165586,271.3095916454256,158.09019200267448,,307.92191383511533,
1023,511.16352944653255,245.82296559160363,216.4393580642468,427.91704603885773,232.9334255169133,268.51859490318236,259.83951555630273,214.56738776483166,81.90021186399699,486.1105023358369,225.92730140252684,206.82460467104966,478.5839876346182,214.6027232341337,148.48643671791183,547.1590168363188,197.70668627760062,155.9518057620105,580.9033957464842,200.1325500020812,94.58084468596053,633.1007354354431,182.7297644727994,46.030180113063125,440.3758224670646,225.5779114895845,176.3639204812016,432.04912585219995,207.79722404488143,137.75714169179332,404.2713878419423,134.7230693295354,187.3180149210948,406.01675154321117,124.93689391860858,114.10122550967662,363.8875334314338,65.2271540213602,47.69650788418585,404.2671099186986,227.5474149095271,160.74869997281303,397.0223375490645,213.4518603963336,142.87868578817097,348.82740360971593,160.45109269458646,186.32824696042644,331.2391158102203,139.41588237123392,105.392323065651,,,45.62514107242555,405.063989517633,246.18742104899252,150.39259845097595,399.8443716442467,256.0364172520324,117.2049813122255,345.12686919422026,319.7897800009132,177.5633354497225,323.97327861635324,302.1352252591655,88.51265202282346,244.66602355463942,336.1488854050085,34.68499558088887,435.5033613511014,242.77262994918306,163.3387689572496,429.970808490379,254.37199442818223,126.46601888698967,407.59183150017236,332.2296935213685,181.07003298005537,404.51933248759246,303.6443324461634,94.91560706690096,364.99808390744784,349.19910683395415,35.205867169652606,477.5561286862511,249.47929653930987,199.48577629311112,478.96670659443953,261.89127059312295,134.23814013864427,540.225026623903,302.99510257203053,123.59548895435219,577.3443004337648,314.483954181173,68.68468045210261,630.8384177051794,355.1475024357362,31.125141832611178,576.667156172339,221.70804221693766,251.84914624972998,574.0742956014112,273.90807081163643,240.48584748782082
9945,518.4349759071872,249.09145148329048,200.0224474335102,430.2779337900774,258.50365567363497,254.84920045256777,246.18717492305709,276.93967798664573,118.20703287911451,480.7482031695039,255.17024363322503,192.02292894816378,460.89611695474923,241.57434585814792,137.45117424822456,524.6064131149709,187.34656684938147,163.1557960513096,541.363323928011,182.52419837942705,96.0442264503422,579.0049986393301,140.17780136691454,53.75049852507436,434.422701148429,249.4102538778693,158.42356704731696,425.7627863208564,231.135588323109,119.81678825790868,409.8394230518242,155.71426062389662,182.5601078734053,409.05827402740005,118.8517560624748,98.67181424459113,380.28525914002176,64.75359855806835,48.58822071629447,405.6057266783893,255.47283670200886,145.94702424992715,394.5325251123479,239.79564443542677,128.0770100652851,354.1000182588578,178.56677973078013,153.32224051374715,320.15677112330883,227.37053449474342,93.72932505376366,,,42.122705109135495,406.3633952366427,269.0980370027403,134.1237331494697,392.1383598618184,283.6982608083324,117.72900056495251,352.790044555874,367.4713098495314,180.57518945122484,323.6358280006034,307.56962910180494,104.58563845539612,225.6248144025704,311.9681891190842,37.07489089519738,432.5834473204041,271.5381479062171,159.8624630173436,431.994907503284,289.22339125526446,115.76058316206104,412.17973346583227,355.1451779896636,170.3561894531892,406.2089070585008,367.2243750624907,81.21623019984398,379.0367487058825,430.2811407828549,39.38086172435483,482.4128874880933,270.40513717938006,180.15271569985816,465.47120785123434,278.34570775875784,134.7621593913713,527.3269593290307,307.5205011968759,150.2417730692199,542.0860785552932,312.1346379847905,91.59921244380735,577.146741557204,348.1667026155852,34.13699583411351,577.6444898342623,212.28438611378215,217.1832853050105,581.5606724988548,260.91793221325656,206.5791640196398
8856,282.7912595330852,225.12622827361736,165.04849685055456,364.53222275821264,251.40196411295926,237.50821103259332,543.2714599447162,311.028999378879,117.88934138758816,302.24619693280835,247.58022186884887,170.59146002304107,346.7776111612204,256.4748332420836,106.58952185093159,290.63930009005014,282.0750876902989,146.72088798581456,285.71916701847294,262.2152201013804,75.76829049568917,237.10728141220193,254.5734578245449,35.15075380832653,383.7479729976841,264.8009134242127,139.41141956264596,394.68975830731745,280.72630310691056,112.0623421459315,398.4611194870167,358.1076081633381,163.30988746474134,426.03001459471477,373.4416561744657,78.60510524502101,482.7895988821962,455.39454939893585,32.16534652565076,402.26728982458974,266.9533844514865,125.07249177372859,415.38274118674826,274.8557563334316,104.67611876814252,472.7827418650853,355.3724529306171,160.240930250924,530.202369724953,356.46400025208686,66.69544641405153,618.2383678475744,390.3329467026838,38.73640034055296,402.74712352542497,245.87576654083682,138.14508524883468,417.2327500083733,250.47854007330602,117.12339130765349,474.3842288635583,211.44786193006962,159.2687011636558,524.2925969076084,239.59321954258496,79.44137242470129,613.4701861650317,259.2551369599446,45.69606957176029,384.6109546299952,240.4971107974743,134.2591186171353,383.18025563825955,229.80500987565324,156.71229007970032,403.86103647355213,163.64330752916726,117.5366939748576,424.64943972882156,174.74137691644285,84.16012161176673,479.1134179081858,129.59017195317597,44.76150716461325,316.16565654624475,219.96390410996537,139.43939948239904,349.2797026994021,229.7869295866467,107.44622933677829,290.31474268988165,180.83325154209763,153.78170067233555,281.7790663245668,160.5097970158381,93.71748626337603,,,45.53773040527403,217.7152565546504,232.6904295814711,161.6469970163302,227.17972885030372,182.1288194305937,164.60598080638374
10771,281.2803810289494,367.42002405767846,145.75539379131763,368.19591331569853,365.3234288300466,209.78787787924506,546.2311424069534,353.27778091437665,67.79687933639862,303.081262808507,380.07483787880847,142.43896735441933,346.3852152333688,377.7634604876638,78.43702918230986,296.2750138977195,424.1361898140826,135.45989091836586,288.9360289931932,417.13991676973706,75.76829049568914,221.61001128923073,450.1690808353246,36.55837844175758,370.2144566801466,382.2808148944405,108.44367762716206,376.9559834649449,387.27886452733264,75.46410167672326,387.97315488460913,433.10562755683054,152.04889039729264,404.4006556507005,454.97678735783666,78.60510524502098,431.3165230567875,523.7872260413806,34.98059579251291,390.21623106838047,374.3113201433114,106.73635661638207,412.4631439712162,373.74795204666543,77.30997688681896,461.4379397529772,435.74526941055353,143.62555635914333,516.8062804081817,450.3223103702544,59.69433816963844,608.7026993983019,495.5813954582502,37.50385148456041,404.2590724898848,349.63163392885417,110.85691161075988,418.18569574471076,345.90331704677305,89.8352176695787,464.9665479472856,275.4447641187528,135.19090089476595,518.9494279342821,273.1995645053461,64.19209892107119,605.834777924087,223.70536009963894,44.89347622946343,360.73037438741716,336.18662664346107,118.20725177120903,381.0855935656282,334.5235830208005,80.46592256155009,392.85033081362275,272.332953112342,173.71822793559932,406.05044222086826,225.3389618992096,72.92381481961866,433.03263266703306,141.121106787077,39.94594711083528,315.5048069786132,356.620238200912,133.82124608632466,342.05486855959487,354.0980098922312,78.55286901411046,303.39411288088615,316.0756318281834,141.74280053789107,285.53673091611705,317.8346765761412,84.88895949811649,232.02745401464205,294.4626998364124,47.14291708986639,219.62762847523481,399.1373469647225,133.49450434770847,220.07856999102518,350.3645817855486,150.96189398734668
13754,530.881548142415,344.7498144726146,157.02748244550318,452.04771589598187,376.02678734623294,213.81630731516515,264.23755518988213,412.22793421440383,94.11453521241033,483.6767105933393,352.19515466525354,110.12760034890607,468.99376104982514,337.23270884747194,75.0156474571595,513.2391537372669,292.570766137638,117.66912889963874,543.7145326242121,305.5135222228437,60.60132797386791,605.6544657723429,279.56570172278634,46.55569944758963,453.3029264192061,366.9333855504673,121.725197486443,444.64301159163347,348.658719995707,83.11841869703471,436.9189365788291,285.5363246808363,145.86173831253132,420.84998062500017,240.4745318631867,32.46987420032792,407.20070806186243,163.14505763280158,-14.475041616970202,418.7792652018958,372.99596837460683,122.3740342077756,399.1460335149484,357.31877610802474,94.23198387804632,337.02148696892255,330.25361247099363,149.72265408704288,272.07513041286563,324.39544552677216,135.21256393049748,186.80545596626055,308.7826778131589,188.6089801356493,408.71501549983253,386.62116867533825,101.60637358832258,394.532249152924,408.05413269445353,84.32878832727948,338.6515806760759,479.52824935131116,117.1579862116696,287.1114279531408,520.7511237637264,57.942636069833895,,,35.4573750124584,442.4393153340644,389.06127957881506,115.86801866135917,431.9820864479011,405.3799748851575,85.0089289539658,434.29226483591856,478.13450183307987,160.79299948171666,423.58078930703675,510.71191954647657,78.71586164057905,,,43.943314577297485,479.1950414655274,375.6293364676367,107.02413301851752,478.62840537231403,379.47026291890006,75.75921953444582,517.3304086052622,396.3461239726764,145.09284648037718,540.9298210811891,376.3623959919082,79.38746444275704,603.950683446224,376.8642115123821,36.05089065747833,595.8414410836872,299.7434608468784,180.48491574413652,590.86007357491,345.6439108609434,129.03631795566943
11399,514.7619645757507,316.0523055758176,191.48940872084177,436.8252467841103,365.09440300459596,263.24465064149206,255.11834903183077,401.29554987276686,118.45429787431738,471.86773391171045,332.8162468113687,166.76622426656695,458.54536773646794,322.68038585772865,130.9739796906847,521.4819940776424,270.705997454364,160.70191913458302,533.7903317730792,258.4838498615278,96.15090968331788,579.4888939939624,205.77210741673662,43.328655161297775,431.8606260459621,351.9013570807165,154.55361245935,427.2854436604209,332.26014348325134,128.1920839843865,401.79922642967296,260.9384599121529,154.87994434068423,384.7954940895836,288.9458400776649,83.66616464490244,318.2067320284505,261.5365167075347,38.76212388001136,408.2923876004795,356.63367606081056,148.3995323393242,395.949942998731,343.97309933431677,130.4618572716322,353.0482064536957,304.19042071193576,177.7890272709992,339.5868527151199,327.1285416121816,98.65122712154971,268.28999882824775,315.61541802668216,42.52068218083241,398.98645124617707,373.2754919016304,155.3893949536246,389.6302697634103,387.46857862453317,138.1118096925815,345.2611078241732,461.6395071681409,184.1508724737125,334.09151224280515,451.0571735857909,90.967298311686,264.7075763752926,510.1176553112548,38.64187397736322,431.5041048643735,378.1288952371781,169.65104002666118,422.90282230662166,394.4475905435205,128.89356990107356,403.72656558947006,464.46902140603356,176.21979672651594,384.39102876386886,431.4521330696084,86.71887357173273,312.9500169339283,473.7271586947245,34.624160776611205,465.0651715297491,352.5942057669862,160.80715438381952,463.1682715924904,355.86809330889116,129.5422408997478,520.5639195800338,370.3817111612884,152.0117374219432,533.8292313238526,365.43001165027135,81.69676878526704,577.6809519752551,383.69695172590514,36.82366613363635,574.7392865525112,276.5121441208996,198.34691366605512,581.9746851692761,322.4125941349648,182.81933932097144
13071,508.9205033126782,244.668188679315,177.45632156110446,425.73024826153573,242.71709430269357,227.2344259867766,240.2168253192681,236.82122751917245,68.83823953688523,468.09951392424944,233.71336398248582,142.9560153218124,466.71724515684286,214.33791438471894,96.95939548389333,520.9244873774787,178.2761508684615,138.25229355810052,561.3999896653635,167.59393471631302,95.4706179991822,617.3462111880679,129.2548857179413,75.98265599981778,419.714388504129,228.80610391656978,119.17844488428659,415.8458237981455,209.63596877214331,94.1774997775949,390.2286739564269,133.13242221762187,165.0843196027215,382.9817749562041,117.32950625055969,87.74791474971744,354.623766648341,63.068711057238716,48.28620745791295,401.79839412896905,225.53008919501053,114.3849481325326,389.376971540955,216.16706163978574,97.12756474897651,355.2712564618121,175.9133045643665,146.49560980075057,326.65920370429524,155.98328623811472,60.55489280994334,263.8182254412475,111.9657493929634,40.47980712842491,405.82124566848915,248.67208726995068,115.41352801080342,390.99040860473156,265.81308377435244,85.65926442860852,348.72803052114944,343.0421854517432,180.2917059342255,327.8290741662031,343.38189877576167,85.79479721207777,250.75021502128237,404.29232536601444,36.75270927805809,431.69592031561626,259.06687034039805,110.63182196208197,425.209428414875,273.3173320605622,84.32103199782807,392.7008038023532,327.62018766812207,148.72060810484658,382.40857781847757,357.47760035151055,65.78635775066962,346.41455578505645,429.1215429003553,37.98833431779106,479.64972615468656,244.04516720444758,162.20132608481748,472.3842174123258,257.3673379002116,99.41638315783597,517.4453469569048,302.025805214186,145.52590176221372,554.6467472466518,287.0258225493096,83.74760776632564,623.2213162604062,305.7111010209468,38.21783783463434,566.9954331291378,213.34099490806534,192.90458019296807,572.0013816801995,264.88786020465227,186.84018014221192
